random,por_zona,back_to_front,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen
479.96,307.9,251.39,175.34,164.41,183.65,162.36
366.84,252.8,255.54,171.93,164.8,182.63,159.83
344.34,297.68,266.01,173.23,167.15,186.3,163.77
370.9,275.4,242.85,169.22,164.78,185.46,161.75
401.83,311.84,258.34,173.01,166.5,181.65,161.99
387.26,337.36,266.08,168.42,165.51,186.97,161.99
387.57,283.88,276.11,171.26,165.66,185.17,164.61
435.81,312.96,259.94,169.85,167.88,184.13,160.58
375.34,289.3,256.92,170.46,165.38,179.94,163.11
359.7,237.21,253.99,170.3,167.38,178.62,161.9
401.41,304.49,258.68,167.8,166.3,182.04,162.23
395.88,332.53,235.16,170.94,166.29,181.76,162.65
457.23,287.76,256.62,167.26,167.56,181.81,165.5
312.6,284.08,263.88,169.49,166.8,189.05,160.04
276.73,242.19,250.23,170.18,167.43,187.58,163.28
398.74,337.35,253.36,170.83,164.51,182.41,163.98
340.22,274.53,274.68,173.34,166.62,183.24,164.15
433.17,329.95,274.92,170.88,168.31,183.87,160.52
317.4,304.07,261.98,170.52,164.86,184.04,161.84
317.74,271.4,266.57,172.27,168.03,184.58,163.79
262.72,295.54,265.27,172.86,168.87,187.1,163.98
286.32,288.36,262.51,169.12,165.88,184.17,164.21
344.19,295.27,266.48,170.73,166.02,181.1,162.89
352.4,272.41,266.15,170.58,166.3,181.84,163.71
449.47,325.42,255.9,173.4,166.31,181.16,162.14
420.58,233.61,256.66,173.19,167.84,185.5,164.16
426.63,276.4,249.81,170.84,161.74,186.63,162.72
346.87,287.37,254.65,169.78,163.75,184.09,164.04
363.03,282.04,255.7,171.92,169.57,179.54,163.04
338.83,235.34,251.18,172.69,164.65,185.1,161.3
385.83,335.72,252.56,170.24,165.34,186.24,162.41
398.0,293.48,271.63,170.42,165.17,183.0,163.23
387.82,244.39,269.69,169.33,167.1,183.19,165.29
340.9,297.29,252.18,171.63,164.61,182.05,160.34
373.07,294.73,244.61,171.46,167.93,185.54,164.91
378.68,264.7,256.51,170.41,165.31,183.06,160.61
378.07,307.84,256.96,166.95,168.87,184.88,163.14
328.14,268.2,245.07,170.63,167.04,186.42,164.03
425.81,356.14,239.43,173.55,166.03,182.44,163.52
427.84,321.94,253.01,172.48,163.87,181.59,162.09
395.34,276.14,248.32,172.87,164.96,186.29,164.99
336.87,298.54,251.03,172.3,166.22,184.03,164.75
329.41,287.1,258.04,169.99,165.46,185.71,164.55
419.23,306.24,270.29,170.18,161.55,180.08,164.63
391.21,313.01,282.38,169.45,167.91,185.56,165.24
439.69,300.96,249.13,171.79,166.02,185.15,163.76
380.32,330.29,241.74,175.07,166.74,182.92,163.98
386.65,324.46,282.92,170.69,165.24,185.97,163.79
327.79,311.3,246.52,171.84,165.96,180.5,160.68
403.59,332.81,263.17,171.98,168.19,187.51,162.83
352.77,333.56,255.47,171.87,166.32,182.63,164.48
369.54,296.67,282.21,167.62,165.06,184.34,161.82
358.66,317.34,242.8,172.07,167.11,186.16,165.63
350.67,303.58,251.52,170.63,168.73,180.92,164.1
372.83,315.51,255.48,169.67,166.07,184.09,161.3
331.01,269.97,263.19,170.36,166.23,181.14,164.52
349.11,296.28,252.25,172.72,166.87,185.32,163.55
340.64,275.38,237.96,172.34,165.77,187.09,161.91
363.49,325.5,234.18,170.08,162.83,183.77,163.96
362.54,294.16,278.67,170.91,165.82,183.3,164.45
410.36,291.85,261.36,174.4,166.18,183.76,163.44
372.52,313.9,254.75,171.14,166.75,185.23,163.46
378.82,328.51,261.15,168.86,165.34,186.77,163.38
311.97,308.88,257.66,169.96,165.33,183.33,164.46
437.52,243.31,251.18,171.91,166.11,184.99,161.54
374.74,270.5,259.97,171.82,166.38,179.27,163.7
419.79,294.29,255.0,168.91,162.2,182.9,161.9
364.73,298.45,252.43,169.52,166.89,184.55,163.51
343.05,279.01,241.39,171.6,166.66,179.73,161.97
333.06,284.51,251.42,167.7,162.68,184.14,164.03
370.12,286.63,247.62,171.58,164.81,183.27,161.93
340.3,274.12,260.07,171.49,165.74,182.98,164.92
356.8,266.29,270.59,169.88,166.02,182.19,163.23
319.83,303.37,258.38,171.78,168.32,186.57,163.8
345.28,281.68,239.88,169.57,165.36,184.02,163.82
354.16,306.23,252.72,170.05,162.13,185.18,163.82
349.57,307.11,265.59,169.44,163.69,186.8,162.86
368.3,296.86,255.21,169.92,167.51,183.56,163.02
302.69,327.91,260.77,171.56,163.58,179.47,163.58
405.1,305.88,257.24,172.27,164.82,181.63,163.41
398.24,248.4,259.9,171.04,166.8,181.91,164.13
365.05,300.87,280.19,172.59,163.06,183.62,163.55
345.82,309.99,271.29,171.01,166.26,185.67,165.51
383.32,313.39,265.35,170.95,167.8,181.81,162.0
354.19,310.85,265.21,170.74,166.76,183.95,161.03
397.96,298.99,268.41,170.0,169.82,186.46,164.31
342.56,280.06,254.24,165.5,164.88,187.53,163.97
434.43,319.32,258.42,173.09,167.38,181.25,163.23
319.87,281.44,258.26,171.27,167.31,181.29,163.65
372.95,341.29,257.3,172.29,164.65,181.99,161.36
382.47,325.19,272.17,171.93,166.24,181.11,163.11
329.09,290.54,260.0,168.19,166.36,186.04,162.69
328.92,293.49,258.16,169.95,163.28,184.33,163.08
431.57,310.2,252.6,173.68,161.88,183.57,162.23
493.89,272.78,264.62,170.11,166.65,185.21,162.78
360.41,278.95,252.62,170.42,166.02,187.22,164.82
342.65,260.75,268.05,171.61,168.24,182.73,159.71
336.9,306.75,249.19,171.17,166.09,186.36,162.38
386.5,250.68,272.37,166.41,165.3,186.57,161.5
404.75,302.03,248.37,172.42,165.13,186.41,163.8
323.05,283.25,267.32,170.56,165.0,185.21,164.1
405.4,319.72,249.05,170.11,167.41,185.85,161.88
413.41,292.12,256.54,171.08,167.18,179.18,164.55
453.19,291.86,261.06,169.78,166.56,182.81,163.8
382.64,334.56,240.7,173.54,165.38,187.26,165.8
425.3,261.34,260.1,174.41,165.17,184.38,164.45
267.52,303.44,251.44,172.1,163.45,182.3,162.65
366.04,277.62,266.41,171.0,167.61,187.45,160.94
335.21,306.99,260.86,173.47,167.46,185.88,163.91
364.54,285.93,259.57,171.31,166.2,183.67,163.08
351.49,273.59,248.2,171.35,163.14,186.98,162.32
329.25,312.58,263.9,172.6,167.36,181.83,164.45
340.44,288.47,263.96,171.67,164.51,183.6,164.51
333.74,305.33,253.3,168.15,166.11,180.8,162.45
359.07,261.84,253.13,172.04,161.22,184.72,160.19
315.93,334.84,272.12,171.16,165.5,184.4,164.22
261.13,314.39,262.98,168.9,164.81,184.97,157.07
371.2,275.45,252.37,171.08,164.48,184.98,164.37
409.36,293.15,273.72,173.01,163.5,187.51,163.62
387.53,284.29,265.05,172.99,163.64,188.27,164.55
367.45,299.33,250.71,172.34,165.46,186.05,163.65
347.71,295.46,254.71,165.17,166.76,181.42,164.42
396.74,283.42,242.1,169.7,166.72,186.33,162.81
357.78,272.37,249.05,169.91,164.2,185.18,162.17
378.64,310.36,253.26,171.46,161.26,183.7,166.25
358.82,291.77,284.33,170.77,162.76,183.84,161.91
317.48,307.66,235.42,170.24,162.7,183.47,165.51
409.8,328.86,258.82,168.83,165.55,185.19,161.06
395.45,315.92,250.8,172.67,164.94,184.81,162.62
430.2,273.97,260.75,170.38,166.21,183.27,162.21
365.47,277.23,254.36,173.93,165.58,182.56,164.72
396.14,250.51,251.02,170.54,163.54,179.53,163.2
335.03,288.15,267.51,172.31,162.78,183.3,164.43
441.67,301.14,246.56,172.83,161.12,185.75,162.8
343.57,318.51,246.88,172.84,164.9,185.31,162.65
283.45,309.75,242.51,167.74,166.67,181.96,160.97
429.16,309.45,273.55,170.06,163.43,182.69,163.1
430.17,308.25,248.43,169.43,165.76,184.59,162.09
323.08,310.7,265.31,170.12,169.91,182.55,160.82
348.21,293.27,262.08,171.28,168.85,186.89,163.71
422.0,305.81,260.3,169.49,166.18,183.45,163.2
357.78,302.48,259.11,173.26,166.6,184.5,163.97
398.12,269.77,259.77,169.72,167.83,184.29,164.43
365.31,288.78,258.81,170.45,167.75,186.71,162.48
425.17,315.14,251.01,170.78,167.98,179.72,164.15
363.83,266.49,277.22,171.78,164.81,185.72,161.4
361.53,279.9,249.15,170.12,166.85,183.25,161.67
